id,day,month,year,month(no),date,location,OSGridRef,latitude ,longitude,Nation,comments
273,20,January,1164,1,20-1-1164,Clarendon,SU1820130173,51.0706,-1.7416,England,The King and his son Henry preside over the Council of clarendon. Clarendon.
274,21,January,1164,1,21-1-1164,Clarendon,SU1820130173,51.0706,-1.7416,England,The King and his son Henry preside over the Council of clarendon. Clarendon.
275,22,January,1164,1,22-1-1164,Clarendon,SU1820130173,51.0706,-1.7416,England,The King and his son Henry preside over the Council of clarendon. Clarendon.
276,23,January,1164,1,23-1-1164,Clarendon,SU1820130173,51.0706,-1.7416,England,The King and his son Henry preside over the Council of clarendon. Clarendon.
277,24,January,1164,1,24-1-1164,Clarendon,SU1820130173,51.0706,-1.7416,England,The King and his son Henry preside over the Council of clarendon. Clarendon.
278,25,January,1164,1,25-1-1164,Clarendon,SU1820130173,51.0706,-1.7416,England,The King and his son Henry preside over the Council of clarendon. Clarendon.
279,26,January,1164,1,26-1-1164,Clarendon,SU1820130173,51.0706,-1.7416,England,The King and his son Henry preside over the Council of clarendon. Clarendon.
280,27,January,1164,1,27-1-1164,Clarendon,SU1820130173,51.0706,-1.7416,England,The King and his son Henry preside over the Council of clarendon. Clarendon.
281,28,January,1164,1,28-1-1164,Clarendon,SU1820130173,51.0706,-1.7416,England,The King and his son Henry preside over the Council of clarendon. Clarendon.
282,,March,1164,3,3-1164,Portchester,SU6195205150,50.842,-1.12,England,Appears as 'Porchester' in text
283,,March,1164,3,3-1164,Woodstock,SP4449616513,51.845,-1.354,England,N/A
284,12,April,1164,4,12-4-1164,London,TQ3248081340,51.515457,-0.092140265,England,N/A
285,19,April,1164,4,19-4-1164,Reading,SU7134673352,51.454167,-0.973056,England,N/A
286,,,1164,,1164,Gloucestershire,SO8851615031,51.833333,-2.166667,England,N/A
287,,,1164,,1164,Worcestershire,SO8861055809,52.2,-2.166667,England,N/A
288,,,1164,,1164,Herefordshire,SO4861343086,52.083333,-2.75,England,N/A
289,,,1164,,1164,Shropshire,SJ5148402379,52.616667,-2.716667,England,N/A
290,24,August,1164,8,24-8-1164,Woodstock,SP4449616513,51.845,-1.354,England,N/A
291,25,August,1164,8,25-8-1164,Woodstock,SP4449616513,51.845,-1.354,England,N/A
292,26,August,1164,8,26-8-1164,Woodstock,SP4449616513,51.845,-1.354,England,N/A
293,27,August,1164,8,27-8-1164,Woodstock,SP4449616513,51.845,-1.354,England,N/A
294,28,August,1164,8,28-8-1164,Woodstock,SP4449616513,51.845,-1.354,England,N/A
295,29,August,1164,8,29-8-1164,Woodstock,SP4449616513,51.845,-1.354,England,N/A
296,30,August,1164,8,30-8-1164,Woodstock,SP4449616513,51.845,-1.354,England,N/A
297,31,August,1164,8,31-8-1164,Woodstock,SP4449616513,51.845,-1.354,England,N/A
298,1,September,1164,9,1-9-1164,Woodstock,SP4449616513,51.845,-1.354,England,N/A
299,2,September,1164,9,2-9-1164,Woodstock,SP4449616513,51.845,-1.354,England,N/A
300,3,September,1164,9,3-9-1164,Woodstock,SP4449616513,51.845,-1.354,England,N/A
301,4,September,1164,9,4-9-1164,Woodstock,SP4449616513,51.845,-1.354,England,N/A
302,5,September,1164,9,5-9-1164,Woodstock,SP4449616513,51.845,-1.354,England,N/A
303,6,September,1164,9,6-9-1164,Woodstock,SP4449616513,51.845,-1.354,England,N/A
304,7,September,1164,9,7-9-1164,Woodstock,SP4449616513,51.845,-1.354,England,N/A
305,8,September,1164,9,8-9-1164,Woodstock,SP4449616513,51.845,-1.354,England,N/A
306,9,September,1164,9,9-9-1164,Woodstock,SP4449616513,51.845,-1.354,England,N/A
307,10,September,1164,9,10-9-1164,Woodstock,SP4449616513,51.845,-1.354,England,N/A
308,14,September,1164,9,14-9-1164,London,TQ3248081340,51.515457,-0.092140265,England,N/A
309,6,October,1164,10,6-10-1164,Northampton,SP7549060562,52.238083,-0.89592755,England,N/A
310,7,October,1164,10,7-10-1164,Northampton,SP7549060562,52.238083,-0.89592755,England,N/A
311,8,October,1164,10,8-10-1164,Northampton,SP7549060562,52.238083,-0.89592755,England,N/A
312,9,October,1164,10,9-10-1164,Northampton,SP7549060562,52.238083,-0.89592755,England,N/A
313,10,October,1164,10,10-10-1164,Northampton,SP7549060562,52.238083,-0.89592755,England,N/A
314,11,October,1164,10,11-10-1164,Northampton,SP7549060562,52.238083,-0.89592755,England,N/A
315,12,October,1164,10,12-10-1164,Northampton,SP7549060562,52.238083,-0.89592755,England,N/A
316,13,October,1164,10,13-10-1164,Northampton,SP7549060562,52.238083,-0.89592755,England,N/A
317,14,October,1164,10,14-10-1164,Northampton,SP7549060562,52.238083,-0.89592755,England,N/A
318,15,October,1164,10,15-10-1164,Northampton,SP7549060562,52.238083,-0.89592755,England,N/A
319,16,October,1164,10,16-10-1164,Northampton,SP7549060562,52.238083,-0.89592755,England,N/A
320,17,October,1164,10,17-10-1164,Northampton,SP7549060562,52.238083,-0.89592755,England,N/A
321,18,October,1164,10,18-10-1164,Northampton,SP7549060562,52.238083,-0.89592755,England,N/A
322,19,October,1164,10,19-10-1164,Northampton,SP7549060562,52.238083,-0.89592755,England,N/A
323,20,October,1164,10,20-10-1164,Northampton,SP7549060562,52.238083,-0.89592755,England,The Council of Northampton broke up ; the King pro- Northampton. nouncing sentence against Becket.
324,,,1164,,1164,Yorkshire,SE0000056017,54,-2,England,N/A
325,,,1164,,1164,Nottingham,SK5700040000,52.954357,-1.1530111,England,N/A
326,,,1164,,1164,Peak Castle,SK1483282641,53.3402,-1.7772,England,N/A
327,,,1164,,1164,Woodstock,SP4449616513,51.845,-1.354,England,N/A
328,,,1164,,1164,Oxford,SP5130006100,51.751253,-1.2582674,England,N/A
329,,,1164,,1164,Windsor,SU9691277019,51.483333,-0.604167,England,N/A
330,,,1164,,1164,Surrey,TQ1049051339,51.25,-0.416667,England,N/A
331,,,1164,,1164,St Briavels,SO5595004450,51.736571,-2.637979,England,Appears as 'St. Briavell's' in the text
332,24,December,1164,12,24-12-1164,Marlborough,SU1887169033,51.42,-1.73,England,N/A
333,25,December,1164,12,25-12-1164,Marlborough,SU1887169033,51.42,-1.73,England,N/A
334,26,December,1164,12,26-12-1164,Marlborough,SU1887169033,51.42,-1.73,England,N/A
335,,January,1165,1,1-1165,Westminster,TQ3016079670,51.500988,-0.12617168,England,N/A
336,,February,1165,2,2-1165,Southampton,SU4189211677,50.9025,-1.404167,England,N/A
337,,February,1165,2,2-1165,Dover,TR3161341898,51.1295,1.3089,England,"Perhaps the King, on this occasion embarked at Dover"
338,17,February,1165,2,17-2-1165,Mortimer,,49.7517,1.5511,France,The King said to have been at Mortimer.  Likely to be Mortemer
339,11,April,1165,4,11-4-1165,Gisors,,49.2811,1.7772,France,N/A
340,15,April,1165,4,15-4-1165,Rouen,,49.442778,1.088611,France,N/A
341,15,May,1165,5,15-5-1165,Angers,,47.473612,-0.554167,France,N/A
342,,May,1165,5,5-1165,Barfleur,,49.6711,-1.2633,France,N/A
343,,May,1165,5,5-1165,Southampton,SU4189211677,50.9025,-1.404167,England,He appears to have landed at Southampton.
344,,May,1165,5,5-1165,Surrey,TQ1049051339,51.25,-0.416667,England,N/A
345,,May,1165,5,5-1165,Rhuddlan,SJ0243178478,53.294,-3.464,Wales,Appears as 'Rhuddian' in the text
346,,May,1165,5,5-1165,Basingwerk,SJ1948077492,53.288,-3.208,Wales,"The King fortifies Basingwerk and all his Castles in Flintshire, and returns to England to augment his forces."
347,31,July,1165,7,31-7-1165,Shrewsbury,SJ4906312564,52.708,-2.754,England,N/A
348,31,July,1165,7,31-7-1165,Oswestry,SJ2905829701,52.8598,-3.0538,England,N/A
349,,August,1165,8,8-1165,Powys,SO0340867863,52.3,-3.416667,Wales,Appears as 'Powys-Land' in text
350,,August,1165,8,8-1165,The Ceiriog,SJ3281939682,52.95,-3,Wales,[The King] advanced to the Valley and River of the Ceiriog.
351,,August,1165,8,8-1165,The Berwin,SJ0722332719,52.8839,-3.3802,Wales,Henry marched onward to the foot of the Berwin
352,,August,1165,8,8-1165,Chester,SJ4063166249,53.19,-2.89,England,Benry now retired to Chester.
353,,August,1165,8,8-1165,Wirhall,SJ3281189382,53.396972,-3.011914,England,Likely to be Wirral
354,,September,1165,9,9-1165,Brewood ,SJ8834408816,52.67692,-2.17383,England,Staffordshire
355,,September,1165,9,9-1165,London,TQ3248081340,51.515457,-0.092140265,England,N/A
356,,September,1165,9,9-1165,Woodstock,SP4449616513,51.845,-1.354,England,N/A
357,,September,1165,9,9-1165,Clarendon,SU1820130173,51.0706,-1.7416,England,N/A
358,,,1165,,1165,London,TQ3248081340,51.515457,-0.092140265,England,N/A
359,,,1165,,1165,Rochester,TQ7397767015,51.375,0.5,England,N/A
360,,,1165,,1165,Winchester,SU4779329466,51.062549,-1.3193687,England,N/A
361,,,1165,,1165,Clarendon,SU1820130173,51.0706,-1.7416,England,Estimate of location
362,,,1165,,1165,Salisbury,SU1471230154,51.07,-1.79,England,Estimate of location
363,,,1165,,1165,Chippenham,ST9205173287,51.4585,-2.1158,England,Estimate of location
364,,,1165,,1165,Woodstock,SP4449616513,51.845,-1.354,England,Estimate of location
365,,,1165,,1165,Oxford,SP5130006100,51.751253,-1.2582674,England,Estimate of location
366,,,1165,,1165,Westminster,TQ3016079670,51.500988,-0.12617168,England,N/A
367,,,1165,,1165,Winchester,SU4779329466,51.062549,-1.3193687,England,N/A
368,,,1165,,1165,Salisbury,SU1471230154,51.07,-1.79,England,N/A
369,,,1165,,1165,King's Cliff,TL0048197493,52.566,-0.519,England,N/A
370,25,December,1165,12,25-12-1165,Oxford,SP5130006100,51.751253,-1.2582674,England,N/A
371,31,December,1165,12,31-12-1165,Woodstock,SP4449616513,51.845,-1.354,England,N/A
372,,January,1166,1,1-1166,Woodstock,SP4449616513,51.845,-1.354,England,N/A
373,,February,1166,2,2-1166,Woodstock,SP4449616513,51.845,-1.354,England,N/A
374,,February,1166,2,2-1166,Clarendon,SU1820130173,51.0706,-1.7416,England,N/A
375,1,March,1166,3,1-3-1166,Feckenham,SP0083161317,52.250033,-1.989251,England,Worcestershire
376,2,March,1166,3,2-3-1166,Feckenham,SP0083161317,52.250033,-1.989251,England,Worcestershire
377,3,March,1166,3,3-3-1166,Feckenham,SP0083161317,52.250033,-1.989251,England,Worcestershire
378,4,March,1166,3,4-3-1166,Feckenham,SP0083161317,52.250033,-1.989251,England,Worcestershire
379,5,March,1166,3,5-3-1166,Feckenham,SP0083161317,52.250033,-1.989251,England,Worcestershire
380,6,March,1166,3,6-3-1166,Feckenham,SP0083161317,52.250033,-1.989251,England,Worcestershire
381,7,March,1166,3,7-3-1166,Feckenham,SP0083161317,52.250033,-1.989251,England,Worcestershire
382,8,March,1166,3,8-3-1166,Feckenham,SP0083161317,52.250033,-1.989251,England,Worcestershire
383,9,March,1166,3,9-3-1166,Feckenham,SP0083161317,52.250033,-1.989251,England,Worcestershire
384,10,March,1166,3,10-3-1166,Feckenham,SP0083161317,52.250033,-1.989251,England,Worcestershire
385,11,March,1166,3,11-3-1166,Feckenham,SP0083161317,52.250033,-1.989251,England,Worcestershire
386,12,March,1166,3,12-3-1166,Feckenham,SP0083161317,52.250033,-1.989251,England,Worcestershire
387,13,March,1166,3,13-3-1166,Feckenham,SP0083161317,52.250033,-1.989251,England,Worcestershire
388,13,March,1166,3,13-3-1166,Salisbury,SU1471230154,51.07,-1.79,England,Worcestershire
389,,March,1166,3,3-1166,Clarendon,SU1820130173,51.0706,-1.7416,England,N/A
390,,March,1166,3,3-1166,Woodstock,SP4449616513,51.845,-1.354,England,N/A
391,15,March,1166,3,15-3-1166,Portchester,SU6195205150,50.842,-1.12,England,Appears as 'Porchester' in text
392,16,March,1166,3,16-3-1166,Portchester,SU6195205150,50.842,-1.12,England,Appears as 'Porchester' in text
393,16,March,1166,3,16-3-1166,Southampton,SU4189211677,50.9025,-1.404167,England,N/A
394,17,March,1166,3,17-3-1166,Southampton,SU4189211677,50.9025,-1.404167,England,N/A
395,18,March,1166,3,18-3-1166,Southampton,SU4189211677,50.9025,-1.404167,England,N/A
396,19,March,1166,3,19-3-1166,Southampton,SU4189211677,50.9025,-1.404167,England,N/A
397,20,March,1166,3,20-3-1166,Southampton,SU4189211677,50.9025,-1.404167,England,N/A
398,21,March,1166,3,21-3-1166,Southampton,SU4189211677,50.9025,-1.404167,England,N/A
399,22,March,1166,3,22-3-1166,Southampton,SU4189211677,50.9025,-1.404167,England,N/A
400,23,March,1166,3,23-3-1166,Southampton,SU4189211677,50.9025,-1.404167,England,N/A
401,,March,1166,3,3-1166,Falaise,,48.897222,-0.1975,France,N/A
402,,,1166,,1166,Maine,,48,0.2,France,"King Henry, on landing in Normandy, marched forthwith into Maine"
403,,,1166,,1166,Alençon,,48.4306,0.0931,France,Castle
404,,,1166,,1166,La-Roche-Mabile,,48.4906,-0.05,France,Castle
405,24,April,1166,4,24-4-1166,Angers,,47.473612,-0.554167,France,N/A
406,10,May,1166,5,10-5-1166,Le Mans,,48.0077,0.1984,France,King Henry holds a Council at Le Mans.
407,17,May,1166,5,17-5-1166,Le Mans,,48.0077,0.1984,France,K. Henry holds another Council at Le Mans
408,1,June,1166,6,1-6-1166,Chinon,,47.1678,0.2436,France,"K. Henry holds a Council at Chinon, in Touraine."
409,10,June,1166,6,10-6-1166,Chinon,,47.1678,0.2436,France,"At this time K. Henry was ill, and probably lay at Chinon."
410,12,July,1166,7,12-7-1166,Fougères,,48.3525,-1.1986,France,The King and his army are before Fougeres.
411,,,1166,,1166,Rennes,,48.1147,-1.6794,France,N/A
412,,,1166,,1166,Redon,,47.6522,-2.0836,France,Estimate of location
413,,,1166,,1166,Combour,,48.4094,-1.7506,France,Estimate of location.  Likely to be Combourg
414,,,1166,,1166,Dol,,48.5506,-1.7497,France,Estimate of location
415,,,1166,,1166,Mont St. Michael,,48.636,-1.511,France,Estimate of location
416,30,September,1166,9,30-9-1166,Brittany,,48,-3,France,The King probably in Bretagne.
417,,October,1166,10,10-1166,Caen,,49.18,-0.37,France,N/A
418,c.1,November,1166,11,c.1-11-1166,Touques,,49.3433,0.1028,France,N/A
419,,November,1166,11,11-1166,Rouen,,49.442778,1.088611,France,N/A
420,,November,1166,11,11-1166,Caen,,49.18,-0.37,France,N/A
421,18,November,1166,11,18-11-1166,Tours,,47.393611,0.689167,France,N/A
422,20,November,1166,11,20-11-1166,Chinon,,47.1678,0.2436,France,N/A
423,25,December,1166,12,25-12-1166,Poitiers,,46.58,0.34,France,N/A
424,1,January,1167,1,1-1-1167,Guienne,,43.977,-0.176,France,"K. Henry, leaving Poitiers soon after Christmas, goes into Guienne."
425,26,February,1167,2,26-2-1167,Souterraine,,46.2374,1.4862,France,N/A
426,,March,1167,3,3-1167,Mont de Marsan,,43.89,-0.5,France,(in Gascony)
427,20,March,1167,3,20-3-1167,Gascony,,43.977,-0.176,France,Appears as 'Gascogne' in text
428,21,March,1167,3,21-3-1167,Gascony,,43.977,-0.176,France,Appears as 'Gascogne' in text
429,22,March,1167,3,22-3-1167,Gascony,,43.977,-0.176,France,Appears as 'Gascogne' in text
430,23,March,1167,3,23-3-1167,Gascony,,43.977,-0.176,France,Appears as 'Gascogne' in text
431,24,March,1167,3,24-3-1167,Gascony,,43.977,-0.176,France,Appears as 'Gascogne' in text
432,25,March,1167,3,25-3-1167,Gascony,,43.977,-0.176,France,Appears as 'Gascogne' in text
433,26,March,1167,3,26-3-1167,Gascony,,43.977,-0.176,France,Appears as 'Gascogne' in text
434,27,March,1167,3,27-3-1167,Gascony,,43.977,-0.176,France,Appears as 'Gascogne' in text
435,28,March,1167,3,28-3-1167,Gascony,,43.977,-0.176,France,Appears as 'Gascogne' in text
436,29,March,1167,3,29-3-1167,Gascony,,43.977,-0.176,France,Appears as 'Gascogne' in text
437,30,March,1167,3,30-3-1167,Gascony,,43.977,-0.176,France,Appears as 'Gascogne' in text
438,31,March,1167,3,31-3-1167,Gascony,,43.977,-0.176,France,Appears as 'Gascogne' in text
439,15,April,1167,4,15-4-1167,Auvergne,,45.333333,3,France,N/A
440,4,June,1167,6,4-6-1167,The Vexin,,49.155,1.7875,France,N/A
441,,July,1167,7,7-1167,Chaumont,,49.2683,1.8897,France,In the French Vexin
442,,August,1167,8,8-1167,The Vexin,,49.155,1.7875,France,N/A
443,,August,1167,8,8-1167,Rouen,,49.442778,1.088611,France,N/A
444,31,August,1167,8,31-8-1167,Leon,,48.40827766,-4.485207526,France,Appears as 'Leon in Bretange' in text
445,10,September,1167,9,10-9-1167,Brittany,,48,-3,France,Appears as 'Bretange' in text
446,,October,1167,10,10-1167,Valognes,,49.52,-1.47,France,N/A
447,31,October,1167,10,31-10-1167,Caen,,49.18,-0.37,France,N/A
448,26,November,1167,11,26-11-1167,Argentan,,48.75,-0.02,France,N/A
449,27,November,1167,11,27-11-1167,Argentan,,48.75,-0.02,France,N/A
450,28,November,1167,11,28-11-1167,Argentan,,48.75,-0.02,France,N/A
451,29,November,1167,11,29-11-1167,Argentan,,48.75,-0.02,France,The King goes out hawking.
452,30,November,1167,11,30-11-1167,Argentan,,48.75,-0.02,France,N/A
453,1,December,1167,12,1-12-1167,Argentan,,48.75,-0.02,France,N/A
454,2,December,1167,12,2-12-1167,Argentan,,48.75,-0.02,France,N/A
455,3,December,1167,12,3-12-1167,Argentan,,48.75,-0.02,France,N/A
456,4,December,1167,12,4-12-1167,Argentan,,48.75,-0.02,France,N/A
457,10,December,1167,12,10-12-1167,Le Mans,,48.0077,0.1984,France,N/A
458,25,December,1167,12,25-12-1167,Argentan,,48.75,-0.02,France,N/A
459,,January,1168,1,1-1168,Poitou,,46.6486,-0.2478,France,N/A
460,,January,1168,1,1-1168,Castle of Lusignan,,46.437222,0.127778,France,Poitou
461,,January,1168,1,1-1168,Normandy,,48.88,0.17,France,N/A
462,7,April,1168,4,7-4-1168,Pacey,,49.0167,1.3828,France,N/A
463,7,April,1168,4,7-4-1168,Between Pacey and Mante,,49.02124944,1.543025582,France,Conference between Henry and Louis at a place on the Norman Frontier between Pacey and Mante.
464,12,May,1168,5,12-5-1168,Brittany,,48,-3,France,Appears as 'Bretange' in text
465,,May,1168,5,5-1168,Castle Jocelin,,47.952222,-2.547222,France,N/A
466,,May,1168,5,5-1168,Abrahi Castle,,,,France,(Aurai?)
467,,May,1168,5,5-1168,Vannes ,,47.6559,-2.7603,France,N/A
468,,May,1168,5,5-1168,Porhoet,,48.0992,-2.5433,France,N/A
469,,May,1168,5,5-1168,Cornouarlle,,47.9958,-4.0978,France,N/A
470,,June,1168,6,6-1168,Dinan ,,48.4564,-2.0489,France,N/A
471,,June,1168,6,6-1168,St. Malo,,48.65,-2.01,France,N/A
472,,June,1168,6,6-1168,Castle of Heddé,,48.2953,-1.8014,France,Likely to be Hédé-Bazouges
473,24,June,1168,6,24-6-1168,Castle Becherell,,48.2961,-1.9439,France,Appears to be Bécherel
474,24,June,1168,6,24-6-1168,Castle of Tintiniac,,48.3297,-1.8336,France,N/A
475,25,June,1168,6,25-6-1168,Leon,,48.40827766,-4.485207526,France,N/A
476,,June,1168,6,6-1168,Dinan ,,48.4564,-2.0489,France,N/A
477,,June,1168,6,6-1168,Aleth,,48.635833,-2.026944,France,Likely to be Aleth Cathedral
478,,July,1168,7,7-1168,La Ferté-Bernard,,48.1875,0.6553,France,Appears as 'Feité Bernard' in the text
479,,July,1168,7,7-1168,Beaumont-sur-Oise,,49.1431,2.2872,France,N/A
480,,August,1168,8,8-1168,Ponthieu,,50.11,1.83,France,N/A
481,,August,1168,8,8-1168,The Viemieu,,,,France,N/A
482,,August,1168,8,8-1168,Brueroles,,,,France,N/A
483,,August,1168,8,8-1168,Neufchâtel,,49.73,1.44,France,N/A
484,,August,1168,8,8-1168,Marches of Normandy,,49.09293671,1.600701688,France,N/A
485,,September,1168,9,9-1168,Marches of Normandy,,49.09293671,1.600701688,France,N/A
486,,,1168,,1168,Perche,,48.3772,0.5614,France,October and November 1168
487,25,December,1168,12,25-12-1168,Argentan,,48.75,-0.02,France,N/A
488,31,December,1168,12,31-12-1168,Argentan,,48.75,-0.02,France,N/A
489,1,January,1169,1,1-1-1169,Argentan,,48.75,-0.02,France,N/A
490,6,January,1169,1,6-1-1169,Montmirail,,48.10318426,0.7902709254,France,N/A
491,,March,1169,3,3-1169,St. Germain en Laye,,48.8989,2.0938,France,N/A
492,10,March,1169,3,10-3-1169,Poitou,,46.6486,-0.2478,France,N/A
493,,March,1169,3,3-1169,La Marche,,46.122222,1.912778,France,N/A
494,,March,1169,3,3-1169,Angoumois,,45.65,0.166667,France,N/A
495,,May,1169,5,5-1169,St. Machaire,,44.5675,-0.2225,France,Gascogne.  Likely to be Saint-Macaire.
496,,May,1169,5,5-1169,Gascony,,43.977,-0.176,France,K. Henry seems to have passed the whole of this month in Gascony or in some other Province of Acquitaine. Appears as 'Gascogne' in the text.
497,,June,1169,6,6-1169,Gascony,,43.977,-0.176,France,Henry passes the whole of this month in Gascony.  Appears as 'Gascogne' in the text.
498,c.1,July,1169,7,c.1-7-1169,Gascony,,43.977,-0.176,France,"King Henry, with his army, is in the remoter parts of Gascony.  Appears as 'Gascogne' in the text."
499,1,August,1169,8,1-8-1169,Angers,,47.473612,-0.554167,France,Appears as 'Angiers' in the text
500,2,August,1169,8,2-8-1169,Angers,,47.473612,-0.554167,France,Appears as 'Angiers' in the text
501,3,August,1169,8,3-8-1169,Angers,,47.473612,-0.554167,France,Appears as 'Angiers' in the text
502,4,August,1169,8,4-8-1169,Angers,,47.473612,-0.554167,France,Appears as 'Angiers' in the text
503,5,August,1169,8,5-8-1169,Angers,,47.473612,-0.554167,France,Appears as 'Angiers' in the text
504,6,August,1169,8,6-8-1169,Angers,,47.473612,-0.554167,France,Appears as 'Angiers' in the text
505,7,August,1169,8,7-8-1169,Angers,,47.473612,-0.554167,France,Appears as 'Angiers' in the text
506,8,August,1169,8,8-8-1169,Angers,,47.473612,-0.554167,France,Appears as 'Angiers' in the text
507,15,August,1169,8,15-8-1169,Argentan,,48.75,-0.02,France,N/A
508,23,August,1169,8,23-8-1169,Domfront,,48.5194,-0.7564,France,Appears as 'Damfront' in the text.
509,24,August,1169,8,24-8-1169,Domfront,,48.5194,-0.7564,France,Appears as 'Damfront' in the text.
510,,August,1169,8,8-1169,Beauvoir-en-Lyons,,49.5039,1.5869,France,Appears as 'Beauvoir-en-Lions' in the text
511,31,August,1169,8,31-8-1169,Bayeux,,49.2794,-0.7028,France,Appears as 'Baieux' in the text
512,1,September,1169,9,1-9-1169,Bur-le-Roi,,49.2272,-0.7736,France,Appears as 'Le Bur' in the text
513,2,September,1169,9,2-9-1169,Bur-le-Roi,,49.2272,-0.7736,France,Appears as 'Le Bur' in the text
514,3,September,1169,9,3-9-1169,Rouen,,49.442778,1.088611,France,N/A
515,20,September,1169,9,20-9-1169,Rouen,,49.442778,1.088611,France,N/A
516,1,October,1169,10,1-10-1169,Rouen,,49.442778,1.088611,France,N/A
517,2,October,1169,10,2-10-1169,Rouen,,49.442778,1.088611,France,N/A
518,3,October,1169,10,3-10-1169,Rouen,,49.442778,1.088611,France,N/A
519,4,October,1169,10,4-10-1169,Rouen,,49.442778,1.088611,France,N/A
520,5,October,1169,10,5-10-1169,Rouen,,49.442778,1.088611,France,N/A
521,6,October,1169,10,6-10-1169,Rouen,,49.442778,1.088611,France,N/A
522,7,October,1169,10,7-10-1169,Rouen,,49.442778,1.088611,France,N/A
523,8,October,1169,10,8-10-1169,Rouen,,49.442778,1.088611,France,N/A
524,9,October,1169,10,9-10-1169,Rouen,,49.442778,1.088611,France,N/A
525,10,October,1169,10,10-10-1169,Rouen,,49.442778,1.088611,France,N/A
526,11,October,1169,10,11-10-1169,Rouen,,49.442778,1.088611,France,N/A
527,12,October,1169,10,12-10-1169,Rouen,,49.442778,1.088611,France,N/A
528,13,October,1169,10,13-10-1169,Rouen,,49.442778,1.088611,France,N/A
529,14,October,1169,10,14-10-1169,Rouen,,49.442778,1.088611,France,N/A
530,15,October,1169,10,15-10-1169,Rouen,,49.442778,1.088611,France,N/A
531,16,October,1169,10,16-10-1169,Rouen,,49.442778,1.088611,France,N/A
532,17,October,1169,10,17-10-1169,Rouen,,49.442778,1.088611,France,N/A
533,18,October,1169,10,18-10-1169,Rouen,,49.442778,1.088611,France,N/A
534,19,October,1169,10,19-10-1169,Rouen,,49.442778,1.088611,France,N/A
535,20,October,1169,10,20-10-1169,Rouen,,49.442778,1.088611,France,N/A
536,21,October,1169,10,21-10-1169,Rouen,,49.442778,1.088611,France,N/A
537,22,October,1169,10,22-10-1169,Rouen,,49.442778,1.088611,France,N/A
538,23,October,1169,10,23-10-1169,Rouen,,49.442778,1.088611,France,N/A
539,24,October,1169,10,24-10-1169,Rouen,,49.442778,1.088611,France,N/A
540,25,October,1169,10,25-10-1169,Rouen,,49.442778,1.088611,France,N/A
541,26,October,1169,10,26-10-1169,Rouen,,49.442778,1.088611,France,N/A
542,27,October,1169,10,27-10-1169,Rouen,,49.442778,1.088611,France,N/A
543,28,October,1169,10,28-10-1169,Rouen,,49.442778,1.088611,France,N/A
544,29,October,1169,10,29-10-1169,Rouen,,49.442778,1.088611,France,N/A
545,30,October,1169,10,30-10-1169,Rouen,,49.442778,1.088611,France,N/A
546,31,October,1169,10,31-10-1169,Rouen,,49.442778,1.088611,France,N/A
547,16,November,1169,11,16-11-1169,St. Denys,,48.935556,2.359722,France,N/A
548,18,November,1169,11,18-11-1169,Montmartre,,48.886944,2.341111,France,N/A
549,,November,1169,11,11-1169,Normandy,,48.88,0.17,France,N/A
550,25,December,1169,12,25-12-1169,Nantes,,47.2181,-1.5528,France,N/A
551,31,December,1169,12,31-12-1169,Brittany,,48,-3,France,Appears as 'Bretagne' in text
552,1,January,1170,1,1-1-1170,Brittany,,48,-3,France,Appears as 'Bretagne' in text
553,2,February,1170,2,2-2-1170,Seez,,48.6053,0.1719,France,N/A
554,,February,1170,2,2-1170,Mortain,,48.6486,-0.9397,France,(in the Avranchin)
555,c.20,February,1170,2,c.20-2-1170,Caen,,49.18,-0.37,France,N/A
556,28,February,1170,2,28-2-1170,Caen,,49.18,-0.37,France,N/A
557,3,March,1170,3,3-3-1170,Portsmouth,SU6430901157,50.805833,-1.087222,England,"K. Henry lands at Portsmouth, after four years' absence from England."
558,,March,1170,3,3-1170,Shaftesbury,ST8618623024,51.0059,-2.1969,England,N/A
559,,March,1170,3,3-1170,Feckenham,SP0083161317,52.250033,-1.989251,England,N/A
560,5,April,1170,4,5-4-1170,Windsor,SU9691277019,51.483333,-0.604167,England,"At Easter, the King held a great Council at Windsor."
561,c.10,April,1170,4,c.10-4-1170,London,TQ3248081340,51.515457,-0.092140265,England,N/A
562,,May,1170,5,5-1170,Woodstock,SP4449616513,51.845,-1.354,England,N/A
563,,May,1170,5,5-1170,Silverston,SP6696743966,52.09,-1.024,England,(Northants)
564,11,June,1170,6,11-6-1170,London,TQ3248081340,51.515457,-0.092140265,England,The King holds a great Council at London.
565,14,June,1170,6,14-6-1170,Westminster,TQ3016079670,51.500988,-0.12617168,England,"Prince Henry crowned King, in presence of his father."
566,c.24,June,1170,6,c.24-6-1170,Portsmouth,SU6430901157,50.805833,-1.087222,England,N/A
567,,June,1170,6,6-1170,Barfleur,,49.6711,-1.2633,France,N/A
568,30,June,1170,6,30-6-1170,Falaise,,48.897222,-0.1975,France,N/A
569,c.2,July,1170,7,c.2-7-1170,Argentan,,48.75,-0.02,France,N/A
570,6,July,1170,7,6-7-1170,La Ferté-Bernard,,48.1875,0.6553,France,Appears as 'La Ferté Bernard' in the text
